Фискальный эффект — 7-летняя траектория 3 уровня,,,,,,,
Уровень 1 (НДФЛ + травматизм + амортизация CAPEX без ДМС). Уровень 2 (НДС + налог на прибыль). Уровень 3 (каскад).,,,,,,,
,,,,,,,
Параметр,Год 1,Год 2,Год 3,Год 4,Год 5,Год 6,Год 7
Контингент тыс. чел.,25,100,250,499.75,700,850,1000
Контингент чел. (расчёт),25000,100000,250000,499750,700000,850000,1000000
,,,,,,,
Уровень 1 ₽/уч./год,117393,118893,120468,122122,123858,125682,127596
Уровень 1 млрд ₽/год,2.93,11.89,30.12,61.03,86.70,106.83,127.60
Уровень 3 нижний (×1.0) млрд ₽/год,8.63,36.24,95.12,199.65,293.63,374.38,462.47
Уровень 3 верхний (×2.0) млрд ₽/год,17.26,72.47,190.24,399.30,587.27,748.77,924.95
Уровень 2 (НДС+прибыль) ₽/уч./год,182392,191511,201087,211141,221698,232783,244422
Уровень 1+2 совокупно млрд ₽/год,7.49,31.04,80.39,166.55,241.89,304.70,372.02
Совокупный эффект (1+2+3 нижн.) млрд ₽/год,16.12,67.28,175.51,366.20,535.52,679.08,834.49
Совокупный эффект (1+2+3 верх.) млрд ₽/год,24.75,103.51,270.63,565.85,829.16,1053.46,1296.96
,,,,,,,
Реальные значения в ценах 2026 (дисконт по i):,,,,,,,
Уровень 1+2 реал млрд ₽/год,7.49,29.56,72.91,143.87,199.00,238.74,277.61
Совокупно (1+2+3 верх.) реал млрд ₽/год,24.75,98.58,245.47,488.80,682.15,825.41,967.82
,,,,,,,
Итого за 7 лет млрд ₽:,,,,,,,
Уровень 1+2 номинал,1204.07,,,,,,
Уровень 1+2 реал (цены 2026),969.19,,,,,,
Совокупно (1+2+3 верх.) номинал,4144.32,,,,,,
Совокупно (1+2+3 верх.) реал (цены 2026),3332.98,,,,,,
,,,,,,,
Справочно: float-доход на Год 7 млрд ₽/год,48.38,Размещение эскроу-фонда в РНКО — отдельный экономический контур,,,,,
Справочно: депозит МВД (автономный фонд) Год 7 млрд ₽/год,12,,,,,,
