PARAMS — фиксированные параметры под капотом,,,
Налоги инфляционная база региональные косты депозит-ставка. НЕ меняется ежедневно.,,,
НДС начисленный %,0.2,НК РФ гл. 21,
НДФЛ участника %,0.13,Приоритет МПС над НК (ст. 207),
Налог на прибыль Оператора %,0.25,Ставка НК РФ с 2025 г.,
Взносы на травматизм %,0.002,ФЗ-125; класс риска I (логистика склад),
ОПС базовая (для stress-test 22%),0.22,ФЗ-167; используется только при ненулевом stress-test,
Sticky-эффект штата (надбавка к TCO),0.17,Стоимость текучести 200–300%/год на платформах: рекрутинг + адаптация + простой,
Депозит-ставка размещения эскроу (float),0.14,Ключевая ЦБ −2 п.п.; РНКО размещение в банках-партнёрах,
Страховой депозит (гарантия выезда для МВД) ₽/мес,1000.0,Автономный фонд организованного выезда не входит в Уровень 1,
Длина контракта мес.,36.0,Стандартная вахта; суммированный учёт,
,,,
Региональные косты (₽/мес на участника),,,
Статья,Москва-норм. (1),Регион (2),Источник
Жильё (общежитие койко-место),14000.0,9000.0,Москва-норм. — общежитие в МО при норме 4 чел/комн.; регион 8–10 тыс.
Питание (трёхразовое),11000.0,9500.0,320–370 руб/день; стандарт вахт. логистических кластеров
Логистика транспорт (вахта-смена),2500.0,1500.0,В Москве — повышенная стоимость внутригородских перевозок
ДМС,3500.0,3500.0,Полное покрытие медицины; не зависит от региона
СБ-админ,4000.0,4000.0,Иммиграционное сопровождение оформление
Амортизация CAPEX (виза/мед/дакт/билет) /мес,2500.0,2500.0,90 000 ₽/чел / 36 мес = 2 500 ₽/мес (включая авиабилет Дели–Москва–Дели)
,,,
CAPEX и Setup-fee (одноразовые на участника),,,
CAPEX на 1 участника (виза/мед/дакт/билет/адаптация),90000.0,Включая авиабилет Дели–Москва–Дели (~45 тыс.) + 1 мес адаптации; амортизация 36 мес = 2500 ₽/мес,
Setup-fee от Платформы (разово),75000.0,Закрытие CAPEX в первые 3 мес; диапазон 50–100 тыс. договорной,
,,,
Параметры Уровня 3 (каскад),,,
Медианная ЗП в обрабат. промышленности gross ₽/мес (2026),80460.0,Росстат; индексация по МЭР через i,
Гросс-доход СМЗ платформы для расчёта НПД,100000.0,Усреднённая платформенная занятость; индексация по МЭР,
Ставка НПД (СМЗ платформы),0.06,ФЗ-422; ставка для юрлиц-заказчиков,
Совокупная ставка штата (НДФЛ 13% + страх. 30.2%),0.432,Базис для каскадного выравнивания,
Коэф. замещения нижний (×1.0),1.0,Консервативный сценарий 1:1,
Коэф. замещения верхний (×2.0),2.0,При текучести 200–300%/год на платформах,
,,,
Прочие операционные косты (₽/мес на 1 уч.),,,
Менеджмент on-site + адаптация + переводчики,4500.0,Координатор-русскоговорящий 1 на 50 уч.; адаптационная программа,
Legal/compliance + резерв на возврат/эвакуацию,2500.0,Юрсопровождение + страховой резерв на ЧП и возвратную логистику,
HQ-команда Оператора (HR/IT/GR/финансы/руководство),3000.0,Штабная команда ~30–40 чел на 100к участников; ФОТ ~250к gross × 1.302,
,,,
Базовая ставка работника,,,
Базовая ставка работника ₽/час нетто,200.0,ФОТ нетто = H × ставка; при 240ч → 48 000 ₽ при 280ч → 56 000 ₽,
