TCO Comparison — ГИС vs штатный найм,,,,,,
Дельта в % не в рублях. Учёт sticky-эффекта (отсутствие ротации).,,,,,,
,,,,,,
Сценарий,TCO ГИС нетто,TCO штатник,TCO-дельта ₽,TCO-дельта %,+ Sticky,Реальная выгода ГИС ₽
МСК × 200ч,110000,135000,-25000,-0.1852,22950,47950
МСК × 240ч,132000,135000,-3000,-0.0222,22950,25950
Регион × 240ч,132000,135000,-3000,-0.0222,22950,25950
Регион × 280ч,154000,135000,19000,0.1407,22950,3950
Базовый (DASHBOARD),132000,135000,-3000,-0.0222,22950,25950
,,,,,,
Логика:,,,,,,
TCO ГИС нетто = что Платформа реально платит за участника (после вычета НДС).,,,,,,
TCO-дельта % < 0 = ГИС дешевле штатника по голой стоимости.,,,,,,
Sticky-эффект (+17% к TCO штата) — стоимость текучести 200–300%/год: рекрутинг + адаптация + простой.,,,,,,
Реальная выгода ГИС = (TCO штата + Sticky) − TCO ГИС. Коммерческий ответ на «почему не свой штат».,,,,,,
